Year	Class	Name	MPIMP-ID
2015	Acids	4-Hydroxybenzaldehyde	A150014-101
2015	Acids	Aconitic acid, cis-	A176002-101
2015	Acids	Benzoic acid	A128003-101
2015	Acids	Benzoic acid, 4-hydroxy-	A164003-101
2015	Acids	Boric acid	A098003-101
2015	Acids	Citric acid	A182004-101
2015	Acids	Dihydroxymalonic acid	A145019-101
2015	Acids	Fumaric acid	A137001-101
2015	Acids	Fumaric acid, 2-methyl-	A140010-101
2015	Acids	Glutaric acid, 2-oxo-	A158004-101
2015	Acids	Glycolic acid	A106002-101
2015	Acids	Homogentisic acid	A182016-101
2015	Acids	Isocitric acid	A182003-101
2015	Acids	Itaconic acid	A135004-101
2015	Acids	Lactic acid	A105001-101
2015	Acids	Malic acid	A149001-101
2015	Acids	Malic acid, 2-methyl-	A148001-101
2015	Acids	Malic acid, 1-methylester	A139020-101
2015	Acids	Malonic acid	A122003-101
2015	Acids	Oxalic acid	A113002-101
2015	Acids	Oxomalonic acid	A140023-101
2015	Acids	Piperidine-2-carboxylic acid	A127012-101
2015	Acids	Pyruvic acid	A108002-101
2015	Acids	Salicylic acid	A152003-101
2015	Acids	Shikimic acid	A181002-101
2015	Acids	Shikimic acid, 3-dehydro-	A178022-101
2015	Acids	Succinic acid	A134001-101
2015	Acids	Syringic acid	A157021-101
2015	Acids	Vanillic acid	A178004-101
2015	Alcohols	1-Cyclohexenol	A105006-101
2015	Alcohols	4-Hydroxybenzyl alcohol	A000438-101
2015	Alcohols	Benzylalcohol	A115003-101
2015	Alcohols	Ethanol, 2-(4-hydroxyphenyl)-	A157014-101
2015	Amino Acids	Adipic acid, 2-amino-	A172006-101
2015	Amino Acids	Adipo-2,6-lactam	A151013-101
2015	Amino Acids	Alanine	A110001-101
2015	Amino Acids	Alanine, 3-cyano-	A138005-101
2015	Amino Acids	Alanine, beta-	A144001-101
2015	Amino Acids	Asparagine	A168001-101
2015	Amino Acids	Aspartic acid	A144003-101
2015	Amino Acids	Butanoic acid, 4-amino-	A153003-101
2015	Amino Acids	Butyro-1,4-lactam	A114004-101
2015	Amino Acids	Cysteine	A156002-101
2015	Amino Acids	Glutamic acid	A163001-101
2015	Amino Acids	Glutamine	A178001-101
2015	Amino Acids	Glycine	A133001-101
2015	Amino Acids	Isoleucine	A132002-101
2015	Amino Acids	Leucine	A129002-101
2015	Amino Acids	Methionine	A152001-101
2015	Amino Acids	N-Carboxyglycine	A147006-101
2015	Amino Acids	Ornithine	A162001-101
2015	Amino Acids	Phenylalanine	A164001-101
2015	Amino Acids	Proline	A132003-101
2015	Amino Acids	Pyroglutamic acid+Glutamic acid+Glutamine	A153002-101
2015	Amino Acids	Serine	A138001-101
2015	Amino Acids	Threonine	A140001-101
2015	Amino Acids	Tryptophan	A223001-101
2015	Amino Acids	Tyrosine	A194002-101
2015	Amino Acids	Valine	A122001-101
2015	Fatty Acids	Hexadecanoic acid	A205001-101
2015	Fatty Acids	Octadecanoic acid	A225002-101
2015	Flavonoid	Naringenin	A284003-101
2015	MSTs	A106004-101	A106004-101
2015	MSTs	A112003-101	A112003-101
2015	MSTs	A116014-101	A116014-101
2015	MSTs	A118006-101	A118006-101
2015	MSTs	A118008-101	A118008-101
2015	MSTs	A124002-101	A124002-101
2015	MSTs	A136010-101	A136010-101
2015	MSTs	A137012-101	A137012-101
2015	MSTs	A138004-101	A138004-101
2015	MSTs	A138009-101	A138009-101
2015	MSTs	A139005-101	A139005-101
2015	MSTs	A140003-101	A140003-101
2015	MSTs	A140006-101	A140006-101
2015	MSTs	A141017-101	A141017-101
2015	MSTs	A142004-101	A142004-101
2015	MSTs	A142016-101	A142016-101
2015	MSTs	A143003-101	A143003-101
2015	MSTs	A144006-101	A144006-101
2015	MSTs	A145008-101	A145008-101
2015	MSTs	A145015-101	A145015-101
2015	MSTs	A145016-101	A145016-101
2015	MSTs	A146017-101	A146017-101
2015	MSTs	A147005-101	A147005-101
2015	MSTs	A147011-101	A147011-101
2015	MSTs	A148003-101	A148003-101
2015	MSTs	A148006-101	A148006-101
2015	MSTs	A155004-101	A155004-101
2015	MSTs	A157008-101	A157008-101
2015	MSTs	A157012-101	A157012-101
2015	MSTs	A159003-101	A159003-101
2015	MSTs	A160001-101	A160001-101
2015	MSTs	A160018-101	A160018-101
2015	MSTs	A167004-101	A167004-101
2015	MSTs	A170001-101	A170001-101
2015	MSTs	A170011-101	A170011-101
2015	MSTs	A171003-101	A171003-101
2015	MSTs	A171025-101	A171025-101
2015	MSTs	A174001-101	A174001-101
2015	MSTs	A174004-101	A174004-101
2015	MSTs	A174005-101	A174005-101
2015	MSTs	A176001-101	A176001-101
2015	MSTs	A176026-101	A176026-101
2015	MSTs	A180002-101	A180002-101
2015	MSTs	A181001-101	A181001-101
2015	MSTs	A181004-101	A181004-101
2015	MSTs	A183011-101	A183011-101
2015	MSTs	A192014-101	A192014-101
2015	MSTs	A197003-101	A197003-101
2015	MSTs	A197007-101	A197007-101
2015	MSTs	A198003-101	A198003-101
2015	MSTs	A199008-101	A199008-101
2015	MSTs	A203003-101	A203003-101
2015	MSTs	A203004-101	A203004-101
2015	MSTs	A203005-101	A203005-101
2015	MSTs	A209004-101	A209004-101
2015	MSTs	A211001-101	A211001-101
2015	MSTs	A211007-101	A211007-101
2015	MSTs	A213001-101	A213001-101
2015	MSTs	A214003-101	A214003-101
2015	MSTs	A214004-101	A214004-101
2015	MSTs	A216005-101	A216005-101
2015	MSTs	A217004-101	A217004-101
2015	MSTs	A221004-101	A221004-101
2015	MSTs	A223005-101	A223005-101
2015	MSTs	A227008-101	A227008-101
2015	MSTs	A228001-101	A228001-101
2015	MSTs	A229001-101	A229001-101
2015	MSTs	A231002-101	A231002-101
2015	MSTs	A237001-101	A237001-101
2015	MSTs	A237002-101	A237002-101
2015	MSTs	A250001-101	A250001-101
2015	MSTs	A252002-101	A252002-101
2015	MSTs	A254002-101	A254002-101
2015	MSTs	A255001-101	A255001-101
2015	MSTs	A255012-101	A255012-101
2015	MSTs	A275003-101	A275003-101
2015	MSTs	A278005-101	A278005-101
2015	MSTs	A285012-101	A285012-101
2015	MSTs	A295006-101	A295006-101
2015	MSTs	A303004-101	A303004-101
2015	MSTs	A311002-101	A311002-101
2015	MSTs	A316003-101	A316003-101
2015	MSTs	A331004-101	A331004-101
2015	N- Compounds	2-Imidazolidone-4-carboxylic acid	A163025-101
2015	N- Compounds	Adenosine	A261002-101
2015	N- Compounds	Adenosine, 5-methylthio-	A280002-101
2015	N- Compounds	Adenosine-5-monophosphate	A307003-101
2015	N- Compounds	Ethanolamine	A128002-101
2015	N- Compounds	Guanine	A214002-101
2015	N- Compounds	Nicotinic acid	A133004-101
2015	N- Compounds	Orotic acid	A176003-101
2015	N- Compounds	Propanoic acid, 2-amino-2-methyl-3-hydroxy-	A124001-101
2015	N- Compounds	Putrescine	A175002-101
2015	N- Compounds	Pyridine, 2,3-dihydroxy-	A131006-101
2015	N- Compounds	Pyridine, 2-hydroxy-	A105003-101
2015	N- Compounds	Pyridine, 3-hydroxy-	A114003-101
2015	N- Compounds	Spermidine	A220002-101
2015	N- Compounds	Tryptamine, 5-hydroxy-	A248001-101
2015	N- Compounds	Uracil	A136001-101
2015	N- Compounds	Uric acid	A211006-101
2015	N- Compounds	Uridine	A246006-101
2015	Phenylpropanoids	Caffeic acid, trans-	A214001-101
2015	Phenylpropanoids	Catechin	A289005-101
2015	Phenylpropanoids	Cinnamic acid, 4-hydroxy-, trans-	A195001-101
2015	Phenylpropanoids	Ferulic acid, trans-	A210001-101
2015	Phenylpropanoids	Quinic acid, 3-caffeoyl-, trans-	A311001-101
2015	Phenylpropanoids	Quinic acid, 4-caffeoyl-, trans-	A317001-101
2015	Phenylpropanoids	Quinic acid, 5-caffeoyl-, cis-	A301002-101
2015	Phenylpropanoids	Quinic acid, 5-caffeoyl-, trans-	A319001-101
2015	Phenylpropanoids	Sinapic acid, cis-	A207001-101
2015	Phenylpropanoids	Sinapic acid, trans-	A225001-101
2015	Phosphates	Ethanolaminephosphate	A177014-101
2015	Phosphates	Fructose-6-phosphate	A232002-101
2015	Phosphates	Galactose-6-phosphate	A232001-101
2015	Phosphates	Glucose-6-phosphate	A233002-101
2015	Phosphates	Glyceric acid-2-phosphate	A179005-101
2015	Phosphates	Glyceric acid-3-phosphate	A181003-101
2015	Phosphates	Glycerol-3-phosphate	A177002-101
2015	Phosphates	Glycerophosphoglycerol	A218002-101
2015	Phosphates	Guanosine-5-monophosphate	A308001-101
2015	Phosphates	Inositol-phosphate, myo-	A243001-101
2015	Phosphates	Phosphoenolpyruvic acid	A159005-101
2015	Phosphates	Phosphoric acid	A129001-101
2015	Phosphates	Phosphoric acid monomethyl ester	A119001-101
2015	Phosphates	Ribulose-5-phosphate	A212012-101
2015	Phosphates	Uridine 5'-monophosphate	A288009-101
2015	Polyhydroxy Acids	Ascorbic acid	A195002-101
2015	Polyhydroxy Acids	Dehydroascorbic acid dimer	A185002-101
2015	Polyhydroxy Acids	Erythronic acid	A154001-101
2015	Polyhydroxy Acids	Erythronic acid-1,4-lactone	A144008-101
2015	Polyhydroxy Acids	Galactaric acid	A204001-101
2015	Polyhydroxy Acids	Galactonic acid	A199002-101
2015	Polyhydroxy Acids	Gluconic acid	A200001-101
2015	Polyhydroxy Acids	Glyceric acid	A135003-101
2015	Polyhydroxy Acids	Ribonic acid	A177001-101
2015	Polyhydroxy Acids	Saccharic acid	A201001-101
2015	Polyhydroxy Acids	Threonic acid	A156001-101
2015	Polyols	1,2,3-Propanetriol, 1-(4-hydroxy-3-methoxyphenyl)-	A201005-101
2015	Polyols	2,3-Dihydroxybutane	A069001-101
2015	Polyols	Arabitol	A171012-101
2015	Polyols	Erythritol	A150002-101
2015	Polyols	Glycerol	A129003-101
2015	Polyols	Hydroquinone	A140012-101
2015	Polyols	Inositol, myo-	A209002-101
2015	Polyols	Ribitol	A173001-101
2015	Polyols	Threitol	A149002-101
2015	Polyols	Viburnitol	A186013-101
2015	Polyols	Xylitol	A171001-101
2015	S- Compounds	3-Indoxyl sulfate	A000467-101
2015	Sugar Conjugates	4-Hydroxyphenyl-beta-glucopyranoside	A258002-101
2015	Sugar Conjugates	Sinigrin	A000512-101
2015	Sugars	1,3-Dihydroxyaceton	A124003-101
2015	Sugars	Arabinose	A167002-101
2015	Sugars	Erythrose	A146002-101
2015	Sugars	Fructose	A188004-101
2015	Sugars	Gentiobiose	A283011-101
2015	Sugars	Glucose	A191001-101
2015	Sugars	Glucose, 1,6-anhydro-, beta-	A172001-101
2015	Sugars	Kestose, 1-	A340003-101
2015	Sugars	Maltose	A274001-101
